video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=HIzJrghJuhY&pp=ygUMbW9uc3RlciBmaXNo,/@rivermonsters,River Monsters™,The BIGGEST FISH caught in Season 1 of River Monsters,3.4M,1 year,"What is the biggest fish that Jeremy Wade caught in season 1? Is it the alligator gar, a Wels catfish, or the accidental catch of a ...",2026-01-20 22:25:59.121869
/watch?v=LsJkkihT7jk&pp=ygUMbW9uc3RlciBmaXNo,/@rivermonsters,River Monsters™,The BIGGEST FISH caught in Season 2 of River Monsters,1.4M,1 year,Season 2 of River Monsters might have some of the biggest and scariest River Monsters of all seasons! Timestamps: 00:00 ...,2026-01-20 22:25:59.124338
/watch?v=TluLIt3F5fA&pp=ygUMbW9uc3RlciBmaXNo,/@rivermonsters,River Monsters™,The BIGGEST FISH caught in Season 3 of River Monsters,2.1M,1 year,"From the electric eel to the short-tailed river stingray, Jeremy showcases the biggest fish he caught in Season 3. Timestamps: ...",2026-01-20 22:25:59.126328
/watch?v=XRwdwhR3x9Q&pp=ygUMbW9uc3RlciBmaXNo,/@BassFishingProductions,Bass fishing Productions,I Caught the Monster Attacking My Fish!,16M,1 year,"In today's video, I catch the MONSTER that has been attacking my fish! It all started about a week ago when I rescued a 4ft long ...",2026-01-20 22:25:59.128510
/watch?v=a3UGb8Chq7g&pp=ygUMbW9uc3RlciBmaXNo,/@The_FishGuys,The Fish Guys,I Bought The Most Terrifying Sea Monsters Off The Web…,9.2M,4 months,I bought terrifying sea monsters off the web and what showed up was absolute insanity. These mystery crates were so massive we ...,2026-01-20 22:25:59.130062
/watch?v=7fkcCTmvoO4&pp=ygUMbW9uc3RlciBmaXNo,/@BassFishingProductions,Bass fishing Productions,I Found a Monster Living in a Creepy Tunnel!,8.7M,2 years,"In today's video, I find MONSTER fish living in a dangerous hidden tunnel! Inside of this tunnel lives venomous snakes, alligators, ...",2026-01-20 22:25:59.131633
/watch?v=WN6_TsV4kBI&pp=ygUMbW9uc3RlciBmaXNo,/@RAWWFishing,RAWWFishing,I Found A Haunted Pond With Giant Swamp Monsters…,4.1M,3 months,Business Inquires - tina@rawwfishing.com GET RawwFam Merch https://www.Rawwfishing.com My Socials : Instagram ...,2026-01-20 22:25:59.132968
/watch?v=32XYlQoTwvg&pp=ygUMbW9uc3RlciBmaXNo,/@BassFishingProductions,Bass fishing Productions,I Found a Monster Living in My Pond…,6.2M,9 months,"In today's video, I explore my backyard ponds to catch out sharks, piranhas, and a ton of other monster fish to bring to my brand ...",2026-01-20 22:25:59.134400
/watch?v=20tcy3Nw-50&pp=ygUMbW9uc3RlciBmaXNo,/@The_FishGuys,The Fish Guys,I Bought The Scariest Sea Monsters Off The Web...,14M,2 months,"Get a 5% deposit bonus on PackDraw using code ""FishGuys” We just bought some of the scariest sea monsters you can actually ...",2026-01-20 22:25:59.135885
/watch?v=iOZpd4SDz04&pp=ygUMbW9uc3RlciBmaXNo,/@The_FishGuys,The Fish Guys,Buying the Deadliest Sea Monsters I’ve Ever Owned Off The Web...,7.8M,9 months,I just bought the deadliest sea creatures I've ever owned off the internet — and things got sketchy FAST. From an electric stingray ...,2026-01-20 22:25:59.137344
/watch?v=1JK2D5IhzF8&pp=ygUMbW9uc3RlciBmaXNo,/@BassFishingProductions,Bass fishing Productions,I Found Monster Fish in a Hidden Tunnel!,7.2M,2 years,"In today's video, I save MONSTER Aquarium fish that were left to die in a dried up creek! We walked through the shallow waters ...",2026-01-20 22:25:59.140054
/watch?v=AYqAp0B9j6c&pp=ygUMbW9uc3RlciBmaXNo,/@rivermonsters,River Monsters™,The BIGGEST FISH caught in Season 9 of River Monsters,3.1M,6 months,We've reached the end of our 'Biggest Fish of Season …' series! Which catch was your favorite? Let us know in the comments!,2026-01-20 22:25:59.141877
/watch?v=xKTVMOulRLY&pp=ygUMbW9uc3RlciBmaXNo0gcJCU8KAYcqIYzv,/@The_FishGuys,The Fish Guys,We FINALLY Caught The POND MONSTER...,845K,2 years,Today we went out on the search for the exotic lake monster! https://fishguy.shop/ FOLLOW OUR SOCIALS! YouTube Channels: ...,2026-01-20 22:25:59.143412
/watch?v=iH9jDCB2M3M&pp=ygUMbW9uc3RlciBmaXNo,/@The_FishGuys,The Fish Guys,The Scariest Sea Monsters I've Ever Owned in 2025...,902K,1 month,Grab your FREE $5 bonus from FreeCash here: https://bit.ly/fcxthe_fishguys 2025 was absolutely insane! We bought some of the ...,2026-01-20 22:25:59.144815
/watch?v=gyK4NviOjGA&pp=ygUMbW9uc3RlciBmaXNo0gcJCU8KAYcqIYzv,/@BassFishingProductions,Bass fishing Productions,Every Monster i Found in 2024,7.5M,1 year,"In today's video, I combine all of my videos of finding monsters in 2024 into one giant movie! We found axolotls, sharks, alligators, ...",2026-01-20 22:25:59.146093
